name,latitude,longitude,address,city,phone
"Supermercato Conad",41.9028,12.4964,"Via del Corso 1","Roma","0612345678"
"MediaWorld",45.4642,9.1900,"Corso Buenos Aires 10","Milano","0298765432"
"Decathlon",40.8518,14.2681,"Via Roma 20","Napoli","0812345678"
"Ipercoop",45.0703,7.6869,"Piazza Castello 5","Torino","0112345678"
"Esselunga",44.4949,11.3426,"Via Indipendenza 15","Bologna","0512345678"
"Zara",41.9028,12.4964,"Via dei Fori Imperiali 30","Roma","0612345679"
"Uniqlo",45.4642,9.1900,"Corso Garibaldi 25","Milano","0298765433"
"Coin",40.8518,14.2681,"Via Toledo 40","Napoli","0812345679"
"Calzedonia",45.0703,7.6869,"Via Roma 60","Torino","0112345679"
"OVS",44.4949,11.3426,"Piazza Maggiore 70","Bologna","0512345679"
"Apple Store",41.9028,12.4964,"Via dei Condotti 80","Roma","0612345680"
"Douglas",45.4642,9.1900,"Via della Repubblica 90","Milano","0298765434"
"Sephora",40.8518,14.2681,"Via Chiaia 100","Napoli","0812345681"
"Motivi",45.0703,7.6869,"Via Roma 110","Torino","0112345681"
"Fnac",44.4949,11.3426,"Via Rizzoli 120","Bologna","0512345681"
"Lidl",41.9028,12.4964,"Via Nazionale 130","Roma","0612345682"
"Foot Locker",45.4642,9.1900,"Corso di Porta Romana 140","Milano","0298765435"
"Tezenis",40.8518,14.2681,"Via Sant'Antonio 150","Napoli","0812345682"
"Max&Co.",45.0703,7.6869,"Via Roma 160","Torino","0112345682"
"Kiabi",44.4949,11.3426,"Via dell'Indipendenza 170","Bologna","0512345682"
"Supermercato Coop",41.9028,12.4964,"Via dei Banchi Nuovi 180","Roma","0612345683"
"Mango",45.4642,9.1900,"Via della Moscova 190","Milano","0298765436"
"Carrefour",40.8518,14.2681,"Via dei Tribunali 200","Napoli","0812345683"
"Benetton",45.0703,7.6869,"Via della Luce 210","Torino","0112345683"
"Iper",44.4949,11.3426,"Via Roma 220","Bologna","0512345683"
"MediaMarkt",41.9028,12.4964,"Via della Repubblica 230","Roma","0612345684"
"Yamamay",45.4642,9.1900,"Via della Repubblica 240","Milano","0298765437"
"Carpisa",40.8518,14.2681,"Via Chiaia 250","Napoli","0812345684"
"Intimissimi",45.0703,7.6869,"Via Garibaldi 260","Torino","0112345684"
"Rinascente",44.4949,11.3426,"Via Mazzini 270","Bologna","0512345684"
"Supermercato Auchan",41.9028,12.4964,"Via del Pantheon 280","Roma","0612345685"
"Calzedonia",45.4642,9.1900,"Via della Spiga 290","Milano","0298765438"
"Tezenis",40.8518,14.2681,"Via dei Mille 300","Napoli","0812345685"
"Benetton",45.0703,7.6869,"Via Po 310","Torino","0112345685"
"Decathlon",44.4949,11.3426,"Via Indipendenza 320","Bologna","0512345685"
"Leroy Merlin",41.9028,12.4964,"Via dei Fori 330","Roma","0612345686"
"Apple Store",45.4642,9.1900,"Via della Repubblica 340","Milano","0298765439"
"Douglas",40.8518,14.2681,"Via Chiaia 350","Napoli","0812345686"
"Sephora",45.0703,7.6869,"Via Roma 360","Torino","0112345686"
"Kiabi",44.4949,11.3426,"Via dell'Indipendenza 370","Bologna","0512345686"
"Supermercato Carrefour",41.9028,12.4964,"Via Nazionale 380","Roma","0612345687"
"MediaWorld",45.4642,9.1900,"Corso Buenos Aires 390","Milano","0298765440"
"Decathlon",40.8518,14.2681,"Via dei Mille 400","Napoli","0812345687"
"Ipercoop",45.0703,7.6869,"Via Roma 410","Torino","0112345687"
"Esselunga",44.4949,11.3426,"Piazza Maggiore 420","Bologna","0512345687"
"Zara",41.9028,12.4964,"Via dei Condotti 430","Roma","0612345688"
"Uniqlo",45.4642,9.1900,"Corso Garibaldi 440","Milano","0298765441"
"Coin",40.8518,14.2681,"Via Toledo 450","Napoli","0812345688"
"Calzedonia",45.0703,7.6869,"Via Roma 460","Torino","0112345688"
"OVS",44.4949,11.3426,"Piazza Maggiore 470","Bologna","0512345688"
"Yamamay",41.9028,12.4964,"Via del Pantheon 480","Roma","0612345689"
"MediaMarkt",45.4642,9.1900,"Via della Repubblica 490","Milano","0298765442"
"Douglas",40.8518,14.2681,"Via Chiaia 500","Napoli","0812345689"
"Sephora",45.0703,7.6869,"Via Roma 510","Torino","0112345689"
"Douglas",44.4949,11.3426,"Via dell'Indipendenza 520","Bologna","0512345689"
"Conad",41.9028,12.4964,"Via dei Banchi Nuovi 530","Roma","0612345690"
"Fnac",45.4642,9.1900,"Via della Moscova 540","Milano","0298765443"
"Douglas",40.8518,14.2681,"Via Chiaia 550","Napoli","0812345690"
"Sephora",45.0703,7.6869,"Via Roma 560","Torino","0112345690"
"Douglas",44.4949,11.3426,"Via Indipendenza 570","Bologna","0512345690"
"Conad",41.9028,12.4964,"Via dei Banchi Nuovi 580","Roma","0612345691"
"Fnac",45.4642,9.1900,"Via della Moscova 590","Milano","0298765444"
"Douglas",40.8518,14.2681,"Via Chiaia 600","Napoli","0812345691"
"Sephora",45.0703,7.6869,"Via Roma 610","Torino","0112345691"
"Douglas",44.4949,11.3426,"Via Indipendenza 620","Bologna","0512345691"